convocō, -āre, -āvī, -ātus; to call together; 12
coquō, coquere, cōxī, coctus; to cook; 6
Cornēliānus, -a, -um; belonging to Cornelius, Cornelian; 10
Cornēliī, -ārum, m. pl.; the Cornelii, the Cornelius family; 10
corpus, corporis, n.; body; 21
crās, adv.; tomorrow; 10, 13
crotalum, -ī, n.; castanet; 21
cubiculum, -ī, n.; room, bedroom; 8, 15
cubitum īre; to go to bed; 19
cui; to whom, to him, to her; 19
Cuius ... ?; Whose ... ?; 22
culīna, -ae, f.; kitchen; 21
culpa, -ae, f.; fault, blame; 14
cum, conj.; when; 22
cum, prep. + abl.; with; 12
cunctī, -ae, -a; all; 14
Cūr ... ? adv.; Why ... ?; 1
Cūria, -ae, f.; Senate House; 23
cūrō, -āre, -āvī, -ātus; to look after, take care of; 6
curriculum, -ī, n.; racetrack; 27
currō, currere, cucurrī, cursūrus; to run; 2, 23
custōdiō, -īre, -īvī, -itus; to guard; 17
custōs, custōdis, m.; guard; 26
dē, prep.+ abl.; down from, concerning, about; 16
debeō, -ēre, -uī, -īturus + infin.; ought; 26
decem; ten; 15
defendō, defendere, defendī, defensus; to defend; (I)
dēfessus, -a, -um; tired; 2
deinde, adv.; then, next; 8, 13
dēmōnstrō, -āre, -āvī, -atus; to show; 24
descendō, descendere, descendī, descensūrus; to come/go down, climb down; 4, 23
dēsīderō, -āre, -āvī, -ātus; to long for, miss; 26
dēvertō, dēvertere, dēvertī, dēversus; to turn aside; 14, 27
dēvōrō, -āre, -āvī, -ātus; to devour; 20
dīcō, dīcere, dīxī, dictus; to say, tell; 20, 21
diēs, diēī, m.; day; 5, 13, 25
	eō diē; on that day; 25
dīligenter, adv.; carefully; 19
discēdō, discēdere, discessī, discessūrus; to go away, depart; 9, 22
diū, adv.; for a long time; 15
dō, dare, dedī, datus; to give; 21
	sē quiētī dare; to rest; 23
doceō, docere, docuī, doctus; to teach; 6, 21
doleō, -ere, -uī, -ītūrus; to be sad; 18
domina, -ae, f.; mistress, lady of the house; 17
dominus, -ī, m.; master, owner; 11
domus, -ūs, f.; house, home; 23, 25
	domī; at home; 26
	domum,;homeward, home; 23
dormiō, -īre, -īvī, -īturus; to sleep; 4
dūcō, dūcere, dūxī, ductus; to lead, take, bring; 7, 19, 20
dum, conj.; while, as long as; 1
duo, duae, duo; two; 15
ē or ex, prep. + abl.; from, out of; 2, 5, 9
eam; her, it; 9, 16
eārum; their; 2 7
Ecce! interj.; Look! Look at!; 1
effugiō, effugere, effūgī; to flee, run away, escape; 11, 21
ego; I; 5, 27
Eheu! interj.; Alas! Oh no!; 7
Eho! interj.; Hey!; 25
eī; to him/her/it; 21
eī, eae, ea; they; 22, 27
eīs; to them; 22
eius; his, him, its; 2, 27
emō, emere, ēmī, emptus; to buy; 21
enim, conj.; for; 20
eō, īre, iī or īvī, itūrus, irreg.; to go; 7, 17, 19, 20, 21
	cubitum īre; to go to bed; 19
eō, adv.; there, to that place; 23
eō diē; on that day; 25
eō ipsō tempore; at that very moment; 10
eōrum; their; 25, 27
eōs; them; 5
epistula, -ae, f.; letter; 7
equus, -ī, m.; horse; 10
erat; (he/she/it) was; 13
errō, -āre, -āvī, -ātūrus; to wander, be mistaken; 5, 18
ēruptiō, ēruptiōnis, f.; eruption; 26
esse; (see sum)
